step,lr,train_loss,eval_loss,eval_ppl,wallclock_s,vram_mb
0,0.0,7.033735275268555,,,0.5272345542907715,401.10498046875
50,0.00015,6.502507944107055,,,1.3828322887420654,678.8212890625
100,0.0003,5.6570832061767575,,,2.095383405685425,679.5087890625
150,0.00029915114833558773,5.187280073165893,,,2.8482325077056885,679.5087890625
200,0.00029661526814454614,4.814522361755371,,,3.539377212524414,679.5087890625
200,0.00029661526814454614,5.54034839630127,4.620157042481252,101.50997225578925,3.6277589797973633,679.5087890625
250,0.0002924242495916296,4.565241613388062,,,4.331467390060425,679.5087890625
300,0.00028663079716682654,4.412105121612549,,,4.901432991027832,679.5087890625
350,0.00027930776689581835,4.287042083740235,,,5.453042507171631,679.5087890625
400,0.000270547250133184,4.185380897521973,,,5.974080324172974,679.5087890625
400,0.000270547250133184,4.3624424290657045,4.089670678396449,59.720221306334494,5.999701261520386,679.5087890625
450,0.0002604594154601839,4.080283188819886,,,6.718654632568359,679.5087890625
500,0.000249171123250929,4.000621790885925,,,7.2347540855407715,679.5087890625
550,0.0002368243303295704,3.973970489501953,,,7.74389123916626,679.5087890625
600,0.0002235743047808703,3.9415435075759886,,,8.27054500579834,679.5087890625
600,0.0002235743047808703,3.999104744195938,3.86025536400242,47.477473858713246,8.296242475509644,679.5087890625
650,0.00020958767336394754,3.8598637056350706,,,8.7639000415802,679.5087890625
700,0.0001950403260841024,3.8345665407180785,,,9.285378217697144,679.5087890625
750,0.00018011520427394653,3.8179451990127564,,,9.731558322906494,679.5087890625
800,0.00016499999999999997,3.7820291662216188,,,10.262375354766846,679.5087890625
800,0.00016499999999999997,3.823601152896881,3.7580723092563018,42.865714442291925,10.288204669952393,679.5087890625
850,0.0001498847957260534,3.737962074279785,,,10.955901622772217,679.5087890625
900,0.00013495967391589754,3.7141669750213624,,,11.491389751434326,679.5087890625
950,0.00012041232663605247,3.7215492820739744,,,11.975202322006226,679.5087890625
1000,0.00010642569521912965,3.683709363937378,,,12.464560985565186,679.5087890625
1000,0.00010642569521912965,3.714346923828125,3.674729082779993,39.43797098431062,12.49014163017273,679.5087890625
1050,9.317566967042956e-05,3.636735134124756,,,12.934191465377808,679.5087890625
1100,8.082887674907097e-05,3.6482802391052247,,,13.437414646148682,679.57080078125
1150,6.954058453981609e-05,3.6370585107803346,,,13.897014856338501,679.57080078125
1200,5.945274986681597e-05,3.625657696723938,,,14.35515570640564,679.57080078125
1200,5.945274986681597e-05,3.636932895183563,3.644824205030844,38.27604352419362,14.380639553070068,679.57080078125
1250,5.0692233104181636e-05,3.5917195224761964,,,14.86491322517395,679.57080078125
1300,4.336920283317343e-05,3.6016030311584473,,,15.300209999084473,679.57080078125
1350,3.7575750408370376e-05,3.584938611984253,,,15.72405219078064,679.57080078125
1400,3.3384731855453814e-05,3.5814102840423585,,,16.145766258239746,679.57080078125
1400,3.3384731855453814e-05,3.5899178624153136,3.6176616581509093,37.2503618231262,16.17144274711609,679.57080078125
1450,3.084885166441225e-05,3.5623198843002317,,,16.645556449890137,679.57080078125
